client_id,company_name,industry,client_tier,home_city_id,active_cities,preferred_geographies,typical_campaign_budget,budget_variance_pct,campaign_frequency,avg_campaign_duration_days,bundle_affinity,negotiation_leverage,relationship_start_date,account_status
CLI-00001,Cinema Entertainment,entertainment,local_business,DAT,DAT,DAT:Central Yard,12900.0,0.28,one_off,25,single_screen,low,2021-10-08,active
CLI-00002,Care Clinics,healthcare,local_business,DAT,DAT,DAT:Ashford Row,6200.0,0.44,seasonal,8,single_screen,medium,2026-02-10,active
CLI-00003,Ledger Bank,finance,local_business,DAT,DAT,DAT:Ashford Row,16600.0,0.3,seasonal,25,single_screen,low,2025-12-05,active
CLI-00004,Drive Dealerships,auto,local_business,ACS,ACS,ACS:Pine Hatch,17600.0,0.36,seasonal,14,single_screen,low,2020-03-11,active
CLI-00005,Link Networks,telecom,local_business,LH,LH,LH:Harborfront,8800.0,0.48,quarterly,11,single_screen,medium,2025-10-06,active
CLI-00006,Neon Live Events,entertainment,local_business,ACS,ACS,ACS:Pine Hatch,8500.0,0.5,seasonal,15,single_screen,low,2023-02-28,active
CLI-00007,Pulse Networks,telecom,national_chain,ACS,ACS|LH|DAT,ACS:Greenhollow|ACS:Sunridge Acres|ACS:Windmere Park|LH:Downtown Core|LH:Market Quarter|LH:Harborfront|DAT:Union Flats|DAT:Harrow Point|DAT:Northbank,120200.0,0.14,quarterly,100,moderate_bundle,high,2019-06-19,active
CLI-00008,Landmark Developments,real_estate,local_business,LH,LH,LH:Harborfront,5900.0,0.32,one_off,14,moderate_bundle,low,2023-06-22,active
CLI-00009,Neon Media Group,entertainment,local_business,LH,LH,LH:North Terminus,9200.0,0.44,seasonal,28,single_screen,medium,2019-01-01,active
CLI-00010,Ledger Financial,finance,local_business,DAT,DAT,DAT:Union Flats,6900.0,0.55,one_off,21,single_screen,low,2026-08-19,active
CLI-00011,Regional Health Department,government,regional_chain,LH,LH|DAT,LH:Harborfront|LH:Uptown Crescent|DAT:Union Flats|DAT:Harrow Point,19000.0,0.32,seasonal,43,moderate_bundle,low,2022-10-16,active
CLI-00012,Highway Dealerships,auto,local_business,DAT,DAT,DAT:Harrow Point,14100.0,0.52,one_off,23,single_screen,low,2023-09-15,active
CLI-00013,Foundation Institute,education,local_business,DAT,DAT,DAT:Bellwood,4300.0,0.49,quarterly,13,moderate_bundle,low,2024-02-03,active
CLI-00014,Signal Telecom,telecom,national_chain,ACS,ACS|LH|DAT,ACS:Sunridge Acres|ACS:Old Orchard|ACS:Cobblestone Village|LH:Market Quarter|LH:North Terminus|LH:Uptown Crescent|DAT:Northbank|DAT:Central Yard|DAT:Ashford Row,302300.0,0.13,quarterly,91,heavy_bundle,high,2020-04-04,lapsed
CLI-00015,Grand Hospitality Group,hospitality,local_business,ACS,ACS,ACS:Southgate Commons,11400.0,0.39,one_off,12,single_screen,low,2022-03-12,active
CLI-00016,Golden Beverages,cpg,local_business,LH,LH,LH:Riverside Junction,9000.0,0.45,quarterly,26,moderate_bundle,low,2022-09-14,active
CLI-00017,Corner Mart,retail,regional_chain,DAT,DAT|LH,DAT:Milltown|DAT:Northbank|LH:Market Quarter|LH:Harborfront,30100.0,0.21,quarterly,29,moderate_bundle,medium,2025-03-01,active
CLI-00018,Skyline Developments,real_estate,regional_chain,DAT,DAT,DAT:Northbank|DAT:Harrow Point,53900.0,0.25,quarterly,15,moderate_bundle,medium,2024-12-14,active
CLI-00019,Prime Goods,retail,regional_chain,DAT,DAT|LH,DAT:Northbank|DAT:Central Yard|LH:Harborfront|LH:Downtown Core,20900.0,0.24,quarterly,15,heavy_bundle,medium,2020-12-18,active
CLI-00020,Capital Advisors,finance,local_business,ACS,ACS,ACS:Sunridge Acres,7800.0,0.41,quarterly,15,moderate_bundle,low,2021-08-12,active
CLI-00021,Meridian Bank,finance,local_business,LH,LH,LH:Financial Row,7200.0,0.34,quarterly,10,single_screen,low,2019-03-25,active
CLI-00022,United Relief Fund,nonprofit,local_business,LH,LH,LH:Uptown Crescent,5300.0,0.55,one_off,14,single_screen,low,2022-10-30,active
CLI-00023,Prime Retail Co,retail,local_business,ACS,ACS,ACS:Pine Hatch,8300.0,0.26,seasonal,17,single_screen,medium,2025-05-14,lapsed
CLI-00024,Corner Retail Co,retail,local_business,LH,LH,LH:Uptown Crescent,4600.0,0.38,quarterly,28,single_screen,low,2020-11-10,active
CLI-00025,Daily Snacks,cpg,regional_chain,LH,LH,LH:Harborfront|LH:East Commons,55700.0,0.31,quarterly,19,moderate_bundle,medium,2025-04-08,active
CLI-00026,Ledger Credit Union,finance,national_chain,DAT,DAT|LH|ACS,DAT:Harrow Point|DAT:Central Yard|DAT:Ashford Row|LH:Downtown Core|LH:Harborfront|LH:Financial Row|ACS:Sunridge Acres|ACS:Maple Grove|ACS:Southgate Commons,257700.0,0.15,quarterly,52,heavy_bundle,high,2025-03-21,active
CLI-00027,Hope Alliance,nonprofit,local_business,LH,LH,LH:East Commons,2600.0,0.5,seasonal,20,single_screen,medium,2020-12-13,active
CLI-00028,Live Studios,entertainment,regional_chain,DAT,DAT|LH,DAT:Bellwood|DAT:Union Flats|LH:Downtown Core|LH:Harborfront,19200.0,0.3,seasonal,30,single_screen,medium,2022-05-12,active
CLI-00029,Daily Beverages,cpg,local_business,ACS,ACS,ACS:Fallowfield,6500.0,0.25,quarterly,18,moderate_bundle,low,2023-11-22,active
CLI-00030,Encore Entertainment,entertainment,local_business,ACS,ACS,ACS:Windmere Park,6300.0,0.45,seasonal,14,single_screen,low,2025-08-17,active
CLI-00031,Trust Bank,finance,local_business,DAT,DAT,DAT:Central Yard,13000.0,0.41,seasonal,11,single_screen,medium,2022-04-07,active
CLI-00032,Encore Productions,entertainment,regional_chain,LH,LH,LH:Market Quarter|LH:East Commons,52600.0,0.3,one_off,46,moderate_bundle,medium,2026-06-15,active
