lead_id,client_id,company_name_raw,industry_vertical,city_id,requested_geography,anchor_screen_id,lead_source,lead_date,sales_stage_reached,lost_date,requested_start_date,requested_duration_days,requested_num_screens,indicated_budget,quoted_price_per_slot_per_day,client_target_price_per_slot_per_day,price_gap_pct,negotiation_rounds,competitor_mentioned,loss_reason,loss_reason_detail,campaign_objective,ad_type
LEAD-000001,CLI-00063,,healthcare,LH,LH:East Commons,LH-SCR-002131,repeat_client_inquiry,2025-10-29,contract_sent,2025-12-23,2026-01-16,87,1,152659.64,81.19,78.1,0.0396,3,True,contract_terms_disagreement,Disagreement over cancellation/make-good terms,conversion,New Clinic Announcement (Conversion)
LEAD-000002,CLI-00502,,hospitality,DAT,DAT:Lakeside Loop,DAT-SCR-002830,referral,2026-06-14,negotiating,2026-06-22,2026-07-05,23,9,4111.23,58.38,40.15,0.454,3,False,price_too_high,Client benchmarked against a cheaper media mix,frequency,Loyalty Membership Drive (Frequency)
LEAD-000003,CLI-00129,,finance,ACS,ACS:Greenhollow,ACS-SCR-001302,repeat_client_inquiry,2026-04-22,quote_sent,2026-04-30,2026-05-23,15,2,17548.91,70.19,56.01,0.2532,0,False,price_too_high,Rate card premium on hub screens broke the budget,frequency,Retirement Planning Awareness (Frequency)
LEAD-000004,CLI-00434,,real_estate,ACS,ACS:Old Orchard,ACS-SCR-000174,inbound_call,2026-02-05,quote_sent,2026-02-08,2026-03-25,20,4,33845.72,21.41,,,0,False,inventory_unavailable,Preferred time-block was sold out,reach,Home Buying Fair Promo (Reach)
LEAD-000005,CLI-00444,,entertainment,ACS,ACS:Windmere Park,ACS-SCR-000097,repeat_client_inquiry,2026-04-24,initial_inquiry,2026-04-30,2026-06-17,10,1,14149.2,,,,0,False,targeting_mismatch,Audience profile was not a fit for offered screens,awareness,Movie Release Teaser (Awareness)
LEAD-000006,CLI-00025,,cpg,LH,LH:Harborfront,LH-SCR-003653,referral,2025-09-13,verbal_agreement,2025-10-10,2025-12-09,14,11,84737.67,76.48,74.72,0.0236,4,False,campaign_cancelled_internally,Client paused all marketing spend that quarter,reach,Sampling Event Tie-in (Reach)
LEAD-000007,CLI-00192,,healthcare,DAT,DAT:Ashford Row,DAT-SCR-002840,inbound_call,2026-01-15,negotiating,2026-02-09,2026-04-09,23,19,13424.78,107.78,73.74,0.4616,2,False,price_too_high,Client benchmarked against a cheaper media mix,frequency,Preventive Care Awareness (Frequency)
LEAD-000008,,Pure Consumer Goods,cpg,DAT,DAT:Milltown,DAT-SCR-002999,website_form,2026-08-16,initial_inquiry,2026-08-18,2026-09-17,19,1,38217.64,,,,0,True,no_response_ghosted,Client stopped responding after initial call,reach,Sampling Event Tie-in (Reach)
LEAD-000009,CLI-00338,,real_estate,LH,LH:Downtown Core,LH-SCR-004179,repeat_client_inquiry,2026-04-23,initial_inquiry,2026-04-30,2026-06-09,22,1,9496.61,,,,0,False,no_response_ghosted,Client stopped responding after initial call,conversion,Open House Weekend (Conversion)
LEAD-000010,,Bright Prep,education,DAT,DAT:Bellwood,DAT-SCR-001966,referral,2026-07-29,quote_sent,2026-08-05,2026-09-03,59,8,3831.39,36.94,27.37,0.3497,0,False,price_too_high,Quoted rate exceeded client ceiling,conversion,Scholarship Awareness (Conversion)
LEAD-000011,CLI-00287,,nonprofit,LH,LH:Market Quarter,LH-SCR-002472,repeat_client_inquiry,2026-03-25,initial_inquiry,2026-03-26,2026-04-24,21,8,5490.91,,,,0,True,no_response_ghosted,Client stopped responding after initial call,conversion,Awareness Month Push (Conversion)
LEAD-000012,CLI-00355,,finance,LH,LH:Financial Row,LH-SCR-002289,repeat_client_inquiry,2025-10-03,quote_sent,2025-10-11,2025-10-24,78,13,454963.35,145.21,,,0,True,inventory_unavailable,Preferred time-block was sold out,conversion,Wealth Management Campaign (Conversion)
LEAD-000013,,Achieve Institute,education,ACS,ACS:Fallowfield,ACS-SCR-001616,website_form,2026-06-14,initial_inquiry,2026-06-20,2026-07-12,22,11,70565.97,,,,0,False,timing_conflict,Requested flight overlapped a blackout period,frequency,Program Launch Campaign (Frequency)
LEAD-000014,CLI-00038,,entertainment,ACS,ACS:Maple Grove,ACS-SCR-001563,referral,2025-11-13,initial_inquiry,2025-11-20,2025-12-06,12,4,9003.06,,,,0,False,budget_mismatch,Client budget was reallocated mid-quarter,awareness,Movie Release Teaser (Awareness)
LEAD-000015,,Highway Automotive,auto,ACS,ACS:Sunridge Acres,ACS-SCR-001375,website_form,2026-01-23,quote_sent,2026-01-31,2026-02-17,40,1,12211.82,119.99,96.59,0.2423,0,False,price_too_high,Rate card premium on hub screens broke the budget,frequency,EV Awareness Campaign (Frequency)
LEAD-000016,,Pure Consumer Goods,cpg,DAT,DAT:Union Flats,DAT-SCR-000501,referral,2025-10-26,negotiating,2025-11-20,2025-12-22,14,8,35432.93,44.22,31.99,0.3823,1,False,price_too_high,Client benchmarked against a cheaper media mix,frequency,Brand Awareness Campaign (Frequency)
LEAD-000017,CLI-00231,,education,LH,LH:Harborfront,LH-SCR-003026,repeat_client_inquiry,2025-10-26,negotiating,2025-11-04,2026-01-01,37,1,30190.43,65.56,54.05,0.213,1,False,price_too_high,Quoted rate exceeded client ceiling,awareness,Scholarship Awareness (Awareness)
LEAD-000018,CLI-00086,,telecom,ACS,ACS:Old Orchard,ACS-SCR-000204,repeat_client_inquiry,2026-02-11,initial_inquiry,2026-02-13,2026-03-20,20,21,6060.5,,,,0,False,targeting_mismatch,Requested geography did not match available inventory,reach,Bundle Offer Awareness (Reach)
LEAD-000019,CLI-00376,,education,DAT,DAT:Bellwood,DAT-SCR-002820,cold_outreach,2025-08-26,quote_sent,2025-09-01,2025-09-24,16,4,7671.77,74.97,59.01,0.2705,0,False,price_too_high,Client benchmarked against a cheaper media mix,reach,Scholarship Awareness (Reach)
LEAD-000020,,Bridge Relief Fund,nonprofit,DAT,DAT:Kestrel Heights,DAT-SCR-000193,cold_outreach,2026-05-19,initial_inquiry,2026-05-26,2026-07-12,23,14,23692.56,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,conversion,Awareness Month Push (Conversion)
LEAD-000021,,Prime Boutique,retail,DAT,DAT:Central Yard,DAT-SCR-002577,inbound_call,2026-01-08,initial_inquiry,2026-01-10,2026-01-30,25,8,133297.54,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,frequency,Weekend Flash Sale (Frequency)
