event_id,city_id,city_zone,poi_id,anchor_location_id,event_name,event_type,recurrence,start_date,end_date,expected_attendance,attendance_tier,primary_impact_daypart,impact_radius_km
ACS-EVT-00062,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Neon Nights Concert Series,concert,one_time,2025-08-26,2025-08-26,23290,large,evening,2.34
ACS-EVT-00051,ACS,Fallowfield,ACS-POI-0316,ACS-LOC-0120,ACS Food & Music Festival,festival,one_time,2025-08-28,2025-08-28,12524,medium,afternoon,0.85
ACS-EVT-00074,ACS,Pine Hatch,,ACS-LOC-0017,Community Rally,political_rally,one_time,2025-08-29,2025-08-29,9191,medium,afternoon,0.83
ACS-EVT-00055,ACS,Fallowfield,ACS-POI-0238,ACS-LOC-0014,ACS Harvest Festival,festival,one_time,2025-09-11,2025-09-12,7938,medium,afternoon,1.14
ACS-EVT-00037,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Live Wire Concert Series,concert,one_time,2025-09-18,2025-09-18,11709,medium,evening,1.0
ACS-EVT-00001,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad United,sports_game,weekly_season,2025-09-19,2025-09-19,41047,large,evening,2.35
ACS-EVT-00063,ACS,Maple Grove,ACS-POI-0226,ACS-LOC-0207,Industry Business Summit,trade_show,one_time,2025-09-19,2025-09-19,4405,medium,morning,1.09
ACS-EVT-00043,ACS,Windmere Park,ACS-POI-0136,ACS-LOC-0022,ACS Cultural Festival,festival,one_time,2025-09-22,2025-09-25,31995,large,afternoon,2.42
ACS-EVT-00090,ACS,Greenhollow,ACS-POI-0075,ACS-LOC-0052,Metro Finance Convention,convention,one_time,2025-09-25,2025-09-25,13835,medium,morning,0.96
ACS-EVT-00002,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside United,sports_game,weekly_season,2025-09-26,2025-09-26,44966,large,afternoon,2.18
ACS-EVT-00003,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside Bolts,sports_game,weekly_season,2025-10-03,2025-10-03,21387,large,afternoon,2.88
ACS-EVT-00004,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Northgate Rangers,sports_game,weekly_season,2025-10-10,2025-10-10,38592,large,evening,2.37
ACS-EVT-00005,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Summit Bolts,sports_game,weekly_season,2025-10-17,2025-10-17,44050,large,evening,2.64
ACS-EVT-00036,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Encore Concert Series,concert,one_time,2025-10-20,2025-10-20,11027,medium,night,1.49
ACS-EVT-00032,ACS,Southgate Commons,ACS-POI-0327,ACS-LOC-0255,Public Rally,political_rally,one_time,2025-10-22,2025-10-22,8418,medium,afternoon,1.75
ACS-EVT-00006,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad United,sports_game,weekly_season,2025-10-24,2025-10-24,20286,large,afternoon,2.6
ACS-EVT-00058,ACS,Old Orchard,ACS-POI-0247,ACS-LOC-0094,National Tech Convention,convention,one_time,2025-10-24,2025-10-24,11163,medium,morning,1.03
ACS-EVT-00088,ACS,Maple Grove,ACS-POI-0176,ACS-LOC-0147,Regional Finance Convention,convention,one_time,2025-10-24,2025-10-24,12685,medium,midday,1.46
ACS-EVT-00007,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Northgate Rangers,sports_game,weekly_season,2025-10-31,2025-10-31,23217,large,evening,2.49
ACS-EVT-00008,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Coastal United,sports_game,weekly_season,2025-11-07,2025-11-07,43714,large,evening,2.75
ACS-EVT-00009,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Summit Bolts,sports_game,weekly_season,2025-11-14,2025-11-14,36774,large,evening,2.16
ACS-EVT-00053,ACS,Old Orchard,,ACS-LOC-0224,ACS Founders Day Parade,parade,one_time,2025-11-17,2025-11-17,20714,large,morning,2.94
ACS-EVT-00010,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Summit Bolts,sports_game,weekly_season,2025-11-21,2025-11-21,20671,large,evening,2.37
ACS-EVT-00060,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,After Hours Concert Series,concert,one_time,2025-11-23,2025-11-23,15005,large,evening,1.88
ACS-EVT-00069,ACS,Fallowfield,,ACS-LOC-0250,ACS New Year Celebration,holiday_event,annual,2025-11-26,2025-11-26,26014,large,afternoon,2.09
ACS-EVT-00011,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside Bolts,sports_game,weekly_season,2025-11-28,2025-11-28,16565,large,evening,2.88
ACS-EVT-00012,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside United,sports_game,weekly_season,2025-12-05,2025-12-05,37575,large,evening,2.96
ACS-EVT-00013,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside FC,sports_game,weekly_season,2025-12-12,2025-12-12,44341,large,evening,2.91
