poi_id,city_id,city_zone,name,poi_type,scale,est_daily_footfall,anchor_location_id,distance_to_location_km,distance_to_location_mi,is_network_hub,side_of_road,peak_daypart
LH-POI-0001,LH,Financial Row,Financial Row Heritage Museum,museum,flagship,29380,LH-LOC-0120,0.384,0.239,False,far_side,afternoon
LH-POI-0002,LH,East Commons,East Commons Mall,shopping_mall,flagship,8525,LH-LOC-0135,0.782,0.486,False,far_side,evening
LH-POI-0003,LH,Cathedral Heights,Cathedral Heights Hotel & Conference Center,hotel_convention,neighborhood,521,LH-LOC-0311,0.409,0.254,False,far_side,midday
LH-POI-0004,LH,North Terminus,Ivy North Mall,shopping_mall,major,3414,LH-LOC-0078,0.082,0.051,True,near_side,midday
LH-POI-0005,LH,North Terminus,Riverside North Residences,residential_tower,neighborhood,1724,LH-LOC-0078,0.312,0.194,True,near_side,morning
LH-POI-0006,LH,North Terminus,Crescent North Grocery & Provisions,grocery_anchor,neighborhood,1134,LH-LOC-0078,0.044,0.027,True,near_side,morning
LH-POI-0007,LH,Financial Row,Riverside Financial Galleria,shopping_mall,major,12418,LH-LOC-0210,0.569,0.354,False,far_side,evening
LH-POI-0008,LH,East Commons,Cedar Mall,shopping_mall,major,3868,LH-LOC-0050,0.793,0.493,False,far_side,afternoon
LH-POI-0009,LH,East Commons,Cedar East Business Park,office_park,minor,531,LH-LOC-0050,0.132,0.082,False,near_side,evening
LH-POI-0010,LH,Harborfront,Ivy Towers,residential_tower,flagship,25748,LH-LOC-0042,0.494,0.307,True,far_side,midday
LH-POI-0011,LH,Harborfront,Union Civic Center,government_building,minor,364,LH-LOC-0042,0.11,0.068,True,far_side,evening
LH-POI-0012,LH,Harborfront,Founders Harborfront Medical Center,hospital,minor,645,LH-LOC-0042,0.025,0.016,True,near_side,night
LH-POI-0013,LH,Harborfront,Harborfront Galleria,shopping_mall,minor,239,LH-LOC-0042,0.155,0.096,True,far_side,afternoon
LH-POI-0014,LH,Old Mill District,Founders Old Market,grocery_anchor,major,7376,LH-LOC-0338,0.768,0.477,False,far_side,midday
LH-POI-0015,LH,Market Quarter,Founders Market City Hall,government_building,neighborhood,3444,LH-LOC-0059,0.069,0.043,True,far_side,midday
LH-POI-0016,LH,Market Quarter,Harbor Residences,residential_tower,neighborhood,1356,LH-LOC-0059,0.326,0.203,True,far_side,evening
LH-POI-0017,LH,Market Quarter,Union Market Mall,shopping_mall,neighborhood,3297,LH-LOC-0059,0.044,0.027,True,far_side,evening
LH-POI-0018,LH,Financial Row,Harbor Financial Tech Campus,corporate_campus,major,10553,LH-LOC-0005,0.33,0.205,True,far_side,morning
LH-POI-0019,LH,Financial Row,Cedar Financial Museum,museum,minor,1130,LH-LOC-0005,0.114,0.071,True,near_side,midday
LH-POI-0020,LH,Financial Row,Financial Row Business Park,office_park,neighborhood,5445,LH-LOC-0005,0.02,0.012,True,far_side,morning
LH-POI-0021,LH,Financial Row,Financial Row Market,grocery_anchor,major,10894,LH-LOC-0005,0.394,0.245,True,near_side,morning
LH-POI-0022,LH,Old Mill District,Central Old Theater Row,entertainment_district,major,4878,LH-LOC-0108,0.402,0.25,False,near_side,evening
LH-POI-0023,LH,Harborfront,Harborfront Institute of Technology,university,flagship,19503,LH-LOC-0237,0.506,0.314,False,far_side,morning
LH-POI-0024,LH,Harborfront,Metro Harborfront Mall,shopping_mall,major,8075,LH-LOC-0297,0.712,0.442,False,near_side,evening
